80	0.00188686
81	0.00190846
82	0.00193009
83	0.00195178
84	0.00197351
85	0.0019953
86	0.00201717
87	0.00203911
88	0.00206115
89	0.00208331
90	0.00210561
91	0.00212808
92	0.00215076
93	0.00217369
94	0.00219692
95	0.00222051
96	0.00224453
97	0.00226907
98	0.00229422
99	0.00232009
100	0.00234679
101	0.00237446
102	0.00240324
103	0.00243329
104	0.00246479
105	0.00249792
106	0.00253287
107	0.00256987
108	0.00260914
109	0.0026509
110	0.00269542
111	0.00274293
112	0.00279372
113	0.00284807
114	0.00290627
115	0.00296863
116	0.00303547
117	0.00310715
118	0.00318402
119	0.00326649
120	0.00335499
121	0.00344997
122	0.00355195
123	0.00366149
124	0.00377923
125	0.00390587
126	0.0040422
127	0.00418913
128	0.00434768
129	0.00451902
130	0.00470448
131	0.00490561
132	0.00512418
133	0.00536223
134	0.00562215
135	0.00590669
136	0.00621908
137	0.00656306
138	0.00694306
139	0.00736425
140	0.00783276
